iter	Logloss
0	0.6853598786
1	0.6777247377
2	0.6707040104
3	0.6636367319
4	0.6570954788
5	0.6503253033
6	0.6436221531
7	0.6378887445
8	0.6318761395
9	0.6263035484
10	0.6212553014
11	0.6165068462
12	0.6119098524
13	0.6074923136
14	0.6033769066
15	0.5991080896
16	0.5952578321
17	0.5917298985
18	0.5879568595
19	0.5847614816
20	0.5814558269
21	0.5800081153
22	0.5768230561
23	0.5738764591
24	0.5726896897
25	0.5702415572
26	0.5674990805
27	0.5652724959
28	0.5642735768
29	0.5618107529
30	0.5596196244
31	0.5577221818
32	0.5558200541
33	0.5546540538
34	0.5528402528
35	0.5521606682
36	0.5509079113
37	0.5492512868
38	0.5474049484
39	0.5457170947
40	0.5442075138
41	0.5429225328
42	0.5417403455
43	0.5414170195
44	0.540449053
45	0.5392243219
46	0.5388199598
47	0.5375271885
48	0.5363298601
49	0.5356416317
50	0.534490772
51	0.5335025007
52	0.5325460083
53	0.5318947012
54	0.5315786311
55	0.5306716301
56	0.5302113289
57	0.5294708432
58	0.5292818462
59	0.5285367922
60	0.5276534515
61	0.5270122847
62	0.5262348382
63	0.5259966278
64	0.5252033879
65	0.5248337821
66	0.5244347832
67	0.5242691949
68	0.5235755325
69	0.5228862582
70	0.5223660726
71	0.5220196442
72	0.5218254267
73	0.5213563116
74	0.5209766516
75	0.5205117528
76	0.5200045728
77	0.5198716484
78	0.5196535597
79	0.5192496959
80	0.5187945289
81	0.5181906159
82	0.5178910636
83	0.5175130792
84	0.5173727353
85	0.5172613763
86	0.5170910382
87	0.517025838
88	0.516551388
89	0.5161824426
90	0.5159702143
91	0.5155444606
92	0.5153622355
93	0.5150749862
94	0.5149717271
95	0.5148573955
96	0.5146381114
97	0.5142965849
98	0.5142237819
99	0.5141231104
100	0.5138352875
101	0.5134744246
102	0.5132179733
103	0.5129742986
104	0.5127077044
105	0.512485983
106	0.5120714947
107	0.5119817417
108	0.5118588918
109	0.5117592885
110	0.5115379086
111	0.5114567792
112	0.5113428925
113	0.5111979348
114	0.5111136838
115	0.5110365985
116	0.5109449364
117	0.5107813547
118	0.5103818825
119	0.5102967503
120	0.5100715869
121	0.5100324719
122	0.5098660552
123	0.5096639272
124	0.509523456
125	0.509366233
126	0.5092586028
127	0.5092222091
128	0.509190936
129	0.5091470656
130	0.5090525345
131	0.5088561371
132	0.5086906542
133	0.5085229008
134	0.5084999969
135	0.5084767537
136	0.5084369443
137	0.5083806887
138	0.50824575
139	0.5080834323
140	0.5080304807
141	0.5079185133
142	0.5075917092
143	0.5075670026
144	0.5073980255
145	0.507379137
146	0.5072884358
147	0.5072217792
148	0.5071730488
149	0.5071149668
150	0.5070742394
151	0.5069511634
152	0.5068801754
153	0.5067678521
154	0.5066069331
155	0.5065690109
156	0.506498022
157	0.5064575922
158	0.5064252875
159	0.5063389561
160	0.5063052632
161	0.50619644
162	0.5060794864
163	0.505895637
164	0.5057930574
165	0.5057669572
166	0.5057360761
167	0.5057111324
168	0.5056632615
169	0.5055825791
170	0.5054958247
171	0.5054775427
172	0.5054405125
173	0.5052097575
174	0.5051806878
175	0.5050934515
176	0.5050357277
177	0.50500511
178	0.5049498423
179	0.5049301745
180	0.5048774161
181	0.5048541533
182	0.5048332154
183	0.5047824312
184	0.5047759446
185	0.5046871744
186	0.5046591786
187	0.5045758046
188	0.5045309635
189	0.5044929273
190	0.5044639618
191	0.5043588109
192	0.5042838802
193	0.504252476
194	0.504234629
195	0.5041907547
196	0.5041615635
197	0.5041382045
198	0.5041128328
