iter	Passed	Remaining
0	2	2764
1	5	2655
2	7	2601
3	10	2594
4	12	2573
5	15	2512
6	17	2448
7	19	2400
8	21	2362
9	23	2348
10	25	2322
11	27	2302
12	30	2284
13	32	2269
14	34	2257
15	36	2241
16	38	2238
17	40	2225
18	42	2216
19	44	2203
20	47	2194
21	49	2184
22	51	2177
23	53	2171
24	55	2159
25	57	2155
26	59	2149
27	61	2145
28	63	2137
29	66	2136
30	68	2133
31	70	2130
32	72	2125
33	74	2122
34	76	2117
35	78	2115
36	81	2113
37	83	2109
38	85	2107
39	87	2105
40	89	2103
41	92	2103
42	94	2099
43	96	2091
44	98	2091
45	100	2090
46	102	2087
47	105	2084
48	107	2084
49	109	2080
50	111	2079
51	114	2079
52	116	2079
53	118	2077
54	120	2075
55	122	2072
56	125	2070
57	127	2070
58	129	2065
59	131	2063
60	133	2061
61	136	2058
62	138	2056
63	140	2051
64	142	2047
65	144	2044
66	146	2041
67	148	2038
68	150	2035
69	153	2033
70	155	2032
71	157	2030
72	160	2034
73	163	2040
74	165	2043
75	168	2044
76	170	2045
77	172	2044
78	175	2043
79	177	2044
80	180	2044
81	183	2049
82	186	2057
83	188	2055
84	190	2051
85	192	2049
86	195	2048
87	197	2044
88	199	2042
89	201	2041
90	204	2038
91	206	2035
92	208	2031
93	210	2028
94	212	2026
95	214	2023
96	216	2020
97	219	2017
98	221	2015
99	223	2011
100	225	2008
101	227	2006
102	230	2004
103	232	2001
104	234	1998
105	236	1996
106	238	1994
107	241	1992
108	243	1988
109	245	1985
110	247	1982
111	249	1978
112	251	1976
113	254	1974
114	256	1971
115	258	1969
116	260	1966
117	262	1964
118	265	1962
119	267	1959
120	269	1957
121	271	1955
122	274	1953
123	276	1951
124	278	1949
125	280	1948
126	283	1946
127	285	1944
128	287	1941
129	289	1938
130	291	1935
131	294	1933
132	296	1932
133	298	1930
134	300	1927
135	303	1925
136	305	1923
137	307	1921
138	309	1918
139	312	1917
140	314	1914
141	316	1912
142	318	1910
143	321	1908
144	323	1906
145	325	1904
146	327	1902
147	330	1900
148	332	1898
149	334	1895
150	336	1893
151	338	1890
152	341	1888
153	343	1886
154	345	1884
155	347	1882
156	349	1879
157	352	1876
158	354	1872
159	356	1870
160	358	1868
161	360	1866
162	362	1863
163	365	1861
164	367	1858
165	369	1855
166	371	1853
167	373	1851
168	376	1849
169	378	1846
170	380	1844
171	382	1841
172	384	1839
173	386	1836
174	389	1834
175	391	1832
176	393	1829
177	395	1827
178	397	1824
179	400	1822
180	402	1820
181	404	1818
182	406	1815
183	409	1813
184	410	1809
185	413	1807
186	415	1805
187	417	1803
188	419	1801
189	421	1798
190	424	1796
191	426	1794
192	428	1791
193	430	1789
194	432	1787
195	435	1785
196	437	1782
197	439	1779
198	441	1777
199	443	1775
200	446	1773
201	448	1771
202	450	1769
203	452	1767
204	455	1765
205	457	1764
206	460	1762
207	462	1760
208	464	1758
209	467	1757
210	469	1754
211	471	1753
212	473	1751
213	476	1748
214	478	1747
215	480	1745
216	483	1743
217	485	1741
218	487	1738
219	489	1736
220	491	1733
221	493	1731
222	496	1728
223	498	1726
224	500	1723
225	502	1721
226	504	1718
227	506	1716
228	508	1713
229	511	1710
230	513	1708
231	515	1706
232	517	1704
233	520	1702
234	522	1700
235	524	1698
236	526	1696
237	528	1692
238	530	1690
239	532	1687
240	535	1685
241	537	1683
